seed,ablation_id,assignment_strategy,route_postprocess,enable_tw_repair,vehicle_scan_mode,objective,travel,tw_penalty,runtime_sec,feasible,selected_k,tw_violation_ratio,max_subproblem_size,subproblem_cap_ok,strategy_signature
0,q4:ffd:none:0:fixed:seed0,ffd,none,False,fixed,386477.0,197.0,385680.0,9.368000000016764,False,5,0.74,13,True,assign=ffd|route=none|tw_repair=False|scan=fixed|qubo_cap=15
1,q4:ffd:none:0:fixed:seed1,ffd,none,False,fixed,375030.0,190.0,374120.0,9.367913708993001,False,6,0.78,13,True,assign=ffd|route=none|tw_repair=False|scan=fixed|qubo_cap=15
2,q4:ffd:none:0:fixed:seed2,ffd,none,False,fixed,357833.0,193.0,357040.0,9.43567408400122,False,5,0.82,13,True,assign=ffd|route=none|tw_repair=False|scan=fixed|qubo_cap=15
3,q4:ffd:none:0:fixed:seed3,ffd,none,False,fixed,579068.0,218.0,578250.0,9.501071709004464,False,5,0.8,13,True,assign=ffd|route=none|tw_repair=False|scan=fixed|qubo_cap=15
4,q4:ffd:none:0:fixed:seed4,ffd,none,False,fixed,447789.0,199.0,446990.0,9.43096300002071,False,5,0.78,13,True,assign=ffd|route=none|tw_repair=False|scan=fixed|qubo_cap=15
0,q4:ffd:none:0:feasibility_filtered:seed0,ffd,none,False,feasibility_filtered,386477.0,197.0,385680.0,9.352457166998647,False,5,0.74,13,True,assign=ffd|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
1,q4:ffd:none:0:feasibility_filtered:seed1,ffd,none,False,feasibility_filtered,375030.0,190.0,374120.0,9.360499415983213,False,6,0.78,13,True,assign=ffd|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
2,q4:ffd:none:0:feasibility_filtered:seed2,ffd,none,False,feasibility_filtered,357833.0,193.0,357040.0,9.462742042000173,False,5,0.82,13,True,assign=ffd|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
3,q4:ffd:none:0:feasibility_filtered:seed3,ffd,none,False,feasibility_filtered,579068.0,218.0,578250.0,9.42135929199867,False,5,0.8,13,True,assign=ffd|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
4,q4:ffd:none:0:feasibility_filtered:seed4,ffd,none,False,feasibility_filtered,447789.0,199.0,446990.0,9.358827458985616,False,5,0.78,13,True,assign=ffd|route=none|tw_repair=False|scan=feasibility_filtered|qubo_cap=15
0,q4:ffd:two_opt:1:fixed:seed0,ffd,two_opt,True,fixed,116506.0,136.0,115770.0,10.387389125011396,True,5,0.7,13,True,assign=ffd|route=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
1,q4:ffd:two_opt:1:fixed:seed1,ffd,two_opt,True,fixed,110435.0,135.0,109580.0,10.331956000009086,True,6,0.68,13,True,assign=ffd|route=two_opt|tw_repair=True|scan=fixed|qubo_cap=15
